geoName;coordinates;cansancio;pérdida de apetito;Pérdida de libido;Ataque de pánico;culpa;Fecha
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;07/02/2020
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;08/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;08/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};100;0;0;0;0;09/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;10/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;11/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;12/02/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;15/02/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;15/02/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;16/02/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;16/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;16/02/2020
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;17/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;17/02/2020
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;18/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;18/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;19/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;20/02/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;22/02/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;23/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;23/02/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;24/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;24/02/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;25/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;25/02/2020
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;26/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;26/02/2020
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;27/02/2020
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;27/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;100;27/02/2020
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;28/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;28/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;29/02/2020
Cuarte de Huerva;{'lat': 41.5962142, 'lng': -0.9331147};0;0;0;0;0;01/03/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;01/03/2020
Cuarte de Huerva;{'lat': 41.5962142, 'lng': -0.9331147};0;0;0;0;0;02/03/2020
Tarazona;{'lat': 41.9042972, 'lng': -1.7222535};0;0;0;0;0;02/03/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;02/03/2020
Tarazona;{'lat': 41.9042972, 'lng': -1.7222535};0;0;0;0;0;03/03/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;05/03/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;06/03/2020
Ciudad Residencial el Zorongo;{'lat': 41.7659922, 'lng': -0.8806231};0;0;0;0;0;07/03/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;07/03/2020
Ciudad Residencial el Zorongo;{'lat': 41.7659922, 'lng': -0.8806231};0;0;0;0;0;08/03/2020
Fuentes de Ebro;{'lat': 41.5130541, 'lng': -0.6311809};0;0;0;0;0;08/03/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;08/03/2020
Monzón;{'lat': 41.9157645, 'lng': 0.1928216};0;0;0;0;0;08/03/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;08/03/2020
Fuentes de Ebro;{'lat': 41.5130541, 'lng': -0.6311809};0;0;0;0;0;09/03/2020
Monzón;{'lat': 41.9157645, 'lng': 0.1928216};0;0;0;0;0;09/03/2020
